encoding,opcode,mnemonic,recognised,attributed_to,vendor_only,broad_mnemonic,broad_ext,active,n_events_deviating,lax_decode_of,verdict,recognised_zfh_incl,recognised_zfh_excl,zfh_only,reserved_rm,reserved_rm_zfh,arch_fault
0x0000602f,47,,False,,False,th.vamoaddw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0000702f,47,,False,,False,th.vamoaddd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0200100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0200602f,47,,False,,False,th.vamoaddw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0200702f,47,,False,,False,th.vamoaddd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0400100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0400602f,47,,False,,False,th.vamoaddw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0400702f,47,,False,,False,th.vamoaddd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0600100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0600602f,47,,False,,False,th.vamoaddw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0600702f,47,,False,,False,th.vamoaddd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0800100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0800400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x0800602f,47,,False,,False,th.vamoswapw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0800702f,47,,False,,False,th.vamoswapd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0a00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0a00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x0a00602f,47,,False,,False,th.vamoswapw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0a00702f,47,,False,,False,th.vamoswapd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0c00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
0x0c00400b,11,,False,,False,,,True,3,,undocumented_active,False,False,False,False,False,sigsegv
0x0c00602f,47,,False,,False,th.vamoswapw.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0c00702f,47,,False,,False,th.vamoswapd.v,xtheadzvamo,True,3,,undocumented_active,False,False,False,False,False,sigill
0x0e00100f,15,,False,,False,,,True,3,0x0000100f,undocumented_active,False,False,False,False,False,none
