encoding,cycles,instret,0x0001,0x0002,0x0003,0x0004,0x0005,0x0006,0x0007,0x0008,0x0009,0x000a,0x000b,0x000c,0x000d,0x000e,0x000f,0x0010,0x0011,0x0012,0x0013,0x0014,0x0015,0x0016,0x0017,0x0018,0x0019,0x001a,0x001b,0x001c,0x001d,0x001e,0x001f,0x0020,0x0021,0x0022,0x0023,0x0024,0x0025,0x0026,0x0029,0x002a
0x00000013,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000013,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000013,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000013,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000013,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x00000033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x40000033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02000033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02004033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02005033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02006033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x02007033,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,3,0,44,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x001080b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x401080b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x021080b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
0x021090b3,448,32,49,0,0,1,0,0,0,1,1,0,0,3,1,0,0,1,1,1,0,6,0,47,0,0,0,0,0,1,26,3,0,3,0,0,0,0,0,1,0,0
