event,window,faults,total,fault_rate_pct,ref_majority,ref_maj_count,tally_final
0x0001,8,286,999992,0.0286,49,6,8
0x0001,16,1,999984,0.0001,49,14,16
0x0001,32,0,999968,0.0000,49,30,32
0x0001,48,0,999952,0.0000,49,46,48
0x0001,64,0,999936,0.0000,49,62,64
0x0001,128,0,999872,0.0000,49,119,128
0x0001,256,0,999744,0.0000,49,244,256
0x0001,512,0,999488,0.0000,49,497,512
0x0001,1024,0,998976,0.0000,49,994,1024
0x0001,2048,0,997952,0.0000,49,1999,2048
0x0002,8,0,999992,0.0000,0,8,8
0x0002,16,0,999984,0.0000,0,16,16
0x0002,32,0,999968,0.0000,0,32,32
0x0002,48,0,999952,0.0000,0,48,48
0x0002,64,0,999936,0.0000,0,64,64
0x0002,128,0,999872,0.0000,0,128,128
0x0002,256,0,999744,0.0000,0,256,256
0x0002,512,0,999488,0.0000,0,511,512
0x0002,1024,0,998976,0.0000,0,1022,1024
0x0002,2048,0,997952,0.0000,0,2046,2048
0x0003,8,15823,999992,1.5823,0,8,8
0x0003,16,8915,999984,0.8915,0,16,16
0x0003,32,1852,999968,0.1852,0,32,32
0x0003,48,376,999952,0.0376,0,48,48
0x0003,64,10,999936,0.0010,0,64,64
0x0003,128,0,999872,0.0000,0,127,128
0x0003,256,0,999744,0.0000,0,255,256
0x0003,512,0,999488,0.0000,0,509,512
0x0003,1024,0,998976,0.0000,0,1018,1024
0x0003,2048,0,997952,0.0000,0,2035,2048
0x0004,8,0,999992,0.0000,1,8,8
0x0004,16,0,999984,0.0000,1,16,16
0x0004,32,0,999968,0.0000,1,32,32
0x0004,48,0,999952,0.0000,1,48,48
0x0004,64,0,999936,0.0000,1,64,64
0x0004,128,0,999872,0.0000,1,128,128
0x0004,256,0,999744,0.0000,1,256,256
0x0004,512,0,999488,0.0000,1,512,512
0x0004,1024,0,998976,0.0000,1,1024,1024
0x0004,2048,0,997952,0.0000,1,2048,2048
0x0005,8,0,999992,0.0000,0,8,8
0x0005,16,0,999984,0.0000,0,16,16
0x0005,32,0,999968,0.0000,0,32,32
0x0005,48,0,999952,0.0000,0,48,48
0x0005,64,0,999936,0.0000,0,64,64
0x0005,128,0,999872,0.0000,0,128,128
0x0005,256,0,999744,0.0000,0,256,256
0x0005,512,0,999488,0.0000,0,512,512
0x0005,1024,0,998976,0.0000,0,1024,1024
0x0005,2048,0,997952,0.0000,0,2046,2048
0x0006,8,0,999992,0.0000,0,8,8
0x0006,16,0,999984,0.0000,0,16,16
0x0006,32,0,999968,0.0000,0,32,32
0x0006,48,0,999952,0.0000,0,48,48
0x0006,64,0,999936,0.0000,0,64,64
0x0006,128,0,999872,0.0000,0,128,128
0x0006,256,0,999744,0.0000,0,256,256
0x0006,512,0,999488,0.0000,0,512,512
0x0006,1024,0,998976,0.0000,0,1024,1024
0x0006,2048,0,997952,0.0000,0,2048,2048
0x0007,8,0,999992,0.0000,0,8,8
0x0007,16,0,999984,0.0000,0,16,16
0x0007,32,0,999968,0.0000,0,32,32
0x0007,48,0,999952,0.0000,0,48,48
0x0007,64,0,999936,0.0000,0,64,64
0x0007,128,0,999872,0.0000,0,128,128
0x0007,256,0,999744,0.0000,0,256,256
0x0007,512,0,999488,0.0000,0,512,512
0x0007,1024,0,998976,0.0000,0,1024,1024
0x0007,2048,0,997952,0.0000,0,2048,2048
0x0008,8,0,999992,0.0000,1,8,8
0x0008,16,0,999984,0.0000,1,16,16
0x0008,32,0,999968,0.0000,1,32,32
0x0008,48,0,999952,0.0000,1,48,48
0x0008,64,0,999936,0.0000,1,64,64
0x0008,128,0,999872,0.0000,1,128,128
0x0008,256,0,999744,0.0000,1,256,256
0x0008,512,0,999488,0.0000,1,512,512
0x0008,1024,0,998976,0.0000,1,1024,1024
0x0008,2048,0,997952,0.0000,1,2048,2048
0x0009,8,0,999992,0.0000,1,8,8
0x0009,16,0,999984,0.0000,1,16,16
0x0009,32,0,999968,0.0000,1,32,32
0x0009,48,0,999952,0.0000,1,48,48
0x0009,64,0,999936,0.0000,1,64,64
0x0009,128,0,999872,0.0000,1,128,128
0x0009,256,0,999744,0.0000,1,256,256
0x0009,512,0,999488,0.0000,1,512,512
0x0009,1024,0,998976,0.0000,1,1024,1024
0x0009,2048,0,997952,0.0000,1,2048,2048
0x000a,8,0,999992,0.0000,0,8,8
0x000a,16,0,999984,0.0000,0,16,16
0x000a,32,0,999968,0.0000,0,32,32
0x000a,48,0,999952,0.0000,0,48,48
0x000a,64,0,999936,0.0000,0,64,64
0x000a,128,0,999872,0.0000,0,128,128
0x000a,256,0,999744,0.0000,0,256,256
0x000a,512,0,999488,0.0000,0,512,512
0x000a,1024,0,998976,0.0000,0,1024,1024
0x000a,2048,0,997952,0.0000,0,2048,2048
0x000b,8,0,999992,0.0000,0,8,8
0x000b,16,0,999984,0.0000,0,16,16
0x000b,32,0,999968,0.0000,0,32,32
0x000b,48,0,999952,0.0000,0,48,48
